,dj,location,timestamp_start,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness
0,AZYR,Teletech,7,Smac U - The intro,102.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",155.1814422607422,64804.484375,1.0798448324203491,C,minor,1674.0771484375
1,AZYR,Teletech,102,Ventur - Bring that beat (Alex Farell Remix),275.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.54547119140625,217389.75,1.1832597255706787,A,minor,3766.606689453125
2,AZYR,Teletech,275,Sikoti - You can’t hide,395.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.47679138183594,162514.375,1.1633449792861938,E,major,3099.54248046875
3,AZYR,Teletech,395,Sikoti - Bang bang bang,519.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.42019653320312,99513.1171875,0.9796500205993652,F,major,2231.412841796875
4,AZYR,Teletech,519,Byørn - Underground hour,706.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.06533813476562,162230.390625,0.9437419772148132,Bb,major,3095.912353515625
5,AZYR,Teletech,706,Veseli - Scream,822.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.57339477539062,98694.0234375,1.1236287355422974,C,major,2219.090087890625
6,AZYR,Teletech,822,Nyco - Kick the speaker,985.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.3228759765625,137509.4375,0.9289127588272095,G,minor,2771.295654296875
7,AZYR,Teletech,985,Luciid - Green Street (unreleased),1119.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.53021240234375,144723.578125,1.0069174766540527,C,minor,2867.8828125
8,AZYR,Teletech,1119,APHØTIC - Real lies,1287.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.3391876220703,120238.609375,0.9936018586158752,C#,minor,2532.967041015625
9,AZYR,Teletech,1287,Alignment - Close your eyes,1457.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.16468811035156,132995.640625,1.0162402391433716,Eb,major,2710.011474609375
10,AZYR,Teletech,1457,Remon Verhoeve - Patriotic,1634.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.60552978515625,137024.34375,1.0225768089294434,F,minor,2764.74169921875
11,AZYR,Teletech,1634,Juul Exler - Intrude,1783.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.43675231933594,82718.6953125,1.0347261428833008,D,minor,1971.4898681640625
12,AZYR,Teletech,1783,Prax - 1995,1908.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.49612426757812,104881.359375,0.9142543077468872,C,minor,2311.36181640625
13,AZYR,Teletech,1908,Fiisher - Just a dream,2090.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.59136962890625,165661.59375,1.0181007385253906,F,major,3139.6318359375
14,AZYR,Teletech,2090,Alex Farell - Jungle boy,2235.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.74925231933594,119877.5,0.9912108182907104,F,minor,2527.86767578125
15,AZYR,Teletech,2235,Bollman - Rampage (Creeds edit),2349.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.52230834960938,102165.1484375,0.9062894582748413,F,minor,2271.082763671875
16,AZYR,Teletech,2349,Azyr - Direct it to the roof (riot codes remix),2540.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.80838012695312,147127.75,0.9699406027793884,D,minor,2899.716064453125
17,AZYR,Teletech,2540,Alex Farell - All night long,2701.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",162.021728515625,136578.6875,1.054553508758545,D,minor,2758.7138671875
18,AZYR,Teletech,2701,Mahtal - All in this,2924.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",162.04135131835938,143349.015625,1.0614027976989746,A,major,2849.604248046875
19,AZYR,Teletech,2924,Fxck this - Holy Priest,3089.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.9769744873047,126403.9609375,0.8445507287979126,G,minor,2619.266845703125
20,AZYR,Teletech,3089,- Frankyeffe - Save me (RiVid A Bit Harder Edit),3290.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.91452026367188,130417.9375,1.0111600160598755,D,minor,2674.706298828125
21,AZYR,Teletech,3290,- Infectious - I need your lovin (95 happy hardcore heavy extended version),inf,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",172.26527404785156,223786.765625,1.0896704196929932,Eb,minor,3840.51220703125
22,Chase & Status,London,0,Chase & Status & Mozey ft. Sav'o & Horrid1 - On The Block,381.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",172.26551818847656,1851701.0,1.1600732803344727,G,minor,15822.408203125
23,Chase & Status,London,381,Chase & Status ft. Burro Banton - Delete,491.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",87.56379699707031,741488.4375,1.3275784254074097,G,minor,8569.787109375
24,Chase & Status,London,491,T>I - Dye Migration (Serum Remix),568.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",172.2657012939453,573524.9375,1.1695815324783325,E,minor,7214.89697265625
25,Chase & Status,London,568,Chase & Status ft. Popcaan & IRAH - Censor (VIP),727.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",87.4891128540039,995353.8125,1.0219788551330566,G,minor,10438.666015625
